Nombre,Direccion,Latitud,Longitud
3A. COMISARÍA DE ALTO HOSPICIO,"Avenida Los Aromos 3961, 1130000 Alto Hospicio, Tarapacá Region, Chile",-20.2736064,-70.0935357
1A. COMISARÍA DE IQUIQUE,"Libertador Bernardo O'Higgins 427, 1100000 Iquique, Tarapacá Region, Chile",-20.218680307984943,-70.15090586658795
RETEN RIO LOA M.A.,"Ruta 1, Iquique, Tarapacá Region, Chile",-21.424594937909877,-70.05671752593582
RETEN CHANAVAYITA (M.C.),"Pasaje Lobo de Mar KM 356, 1130000 Iquique, Tarapacá Region, Chile",-20.705016495136118,-70.1870460938427
TENENCIA DE CARRETERAS IQUIQUE,"Ruta 5 Norte, 1130000 Huara, Tarapacá Region, Chile",-19.997810246595765,-69.76652040906129
4A. COMISARÍA CAVANCHA,"Avenida Salvador Allende Gossens 2734, 1110649 Iquique, Tarapacá Region, Chile",-20.2363776,-70.1366133
5TA COMISARIA CONTROL ORDEN PUBLICO,"Pedro Lagos 1047, 1100986 Iquique, Tarapacá Region, Chile",-20.2164301,-70.1546588
2A. COMISARÍA POZO ALMONTE,"Avenida Comercio 652, 1130000 Pozo Almonte, Tarapacá Region, Chile",-20.255906709576564,-69.78613222256672
RETEN LA TIRANA,"Nueve Oriente, 1130000 Pozo Almonte, Tarapacá Region, Chile",-20.3348876,-69.6591788
RETEN MAMIÑA,"Ruta A-653 698, 1130000 Pozo Almonte, Tarapacá Region, Chile",-20.070690731247947,-69.21728503418569
RETEN QUILLAGUA,"Ruta 5 Norte, María Elena, Antofagasta Region, Chile",-21.62786706874006,-69.55115740537906
SUBCOMISARÍA I.A.T. IQUIQUE,"Ruta 5 Norte, 1130000 Huara, Tarapacá Region, Chile",-19.99576,-69.767446
RETEN PISAGUA,"Esmeralda 16, 1100000 Huara, Tarapacá Region, Chile",-19.595955611874366,-70.21082440083063
TENENCIA HUARA M/C,"Ruta 15 CH, 1130000 Huara, Tarapacá Region, Chile",-19.99564352253759,-69.76710766137694
RETEN CAMIÑA,"Arturo Prat, 1100000 Camiña, Tarapacá Region, Chile",-19.31272835211891,-69.4272213319066
RETEN CANCOSA (F),"Baquedano 36, 1130000 Pica, Tarapacá Region, Chile",-19.854682332648796,-68.60157673313523
TENENCIA PICA,"27 de Abril, 1130000 Pica, Tarapacá Region, Chile",-20.496798714421914,-69.33736446281603
TENENCIA UJINA,"Ruta A-687, Pica, Tarapacá Region, Chile",-20.708080558,-68.69484111700001
SUBCOMISARÍA COLCHANE (F),"Avenida Teniente González, 1130000 Colchane, Tarapacá Region, Chile",-19.276382611536338,-68.63794927041636
2A. COMISARÍA ANTOFAGASTA,"Montegrande 521, 1240788 Antofagasta, Antofagasta Region, Chile",-23.61614006932415,-70.38303925714717
3A. COMISARÍA DE ANTOFAGASTA,"Baquedano 452, 1271523 Antofagasta, Antofagasta Region, Chile",-23.648300116306032,-70.398916661091
SUBCOMISARÍA PLAYA BLANCA,"Avenida República de Croacia 1096, 1270000 Antofagasta, Antofagasta Region, Chile",-23.681036667853228,-70.41351532487738
RETEN SOCOMPA (F),"Ruta B-55, Antofagasta, Antofagasta Region, Chile",-24.4503447,-68.29073679999999
SUBCOMISARÍA ANTOFAGASTA NORTE,"Julio Montt Salamanca 980, 1265572 Antofagasta, Antofagasta Region, Chile",-23.581829481314006,-70.38042108585671
5A. COMISARÍA LA PORTADA,"Avenida Rica Aventura 11878, 1260000 Antofagasta, Antofagasta Region, Chile",-23.5498465,-70.39622959999997
1A. COMISARÍA DE CALAMA ,"2490, 1390000 Calama, Antofagasta Region, Chile",-22.4565302683071,-68.92963161185622
RETEN INACALIRI (F),"Acceso a Inacalari, 1390000 Calama, Antofagasta Region, Chile",-22.0282084,-68.06681889999999
RETEN TOCONCE (F),"Acceso a Toconce, 139 Calama, Antofagasta Region, Chile",-22.264459,-68.1662513
RETEN TOCONAO (F),"Avenida Norte, 1390000 San Pedro de Atacama, Antofagasta Region, Chile",-23.18597632924906,-68.00554799166957
RETEN TOCORPURI (F),"Camino a Tocorpuri, 1390000 San Pedro de Atacama, Antofagasta Region, Chile",-22.4976578,-68.05805279999998
2A. COMISARÍA DE SAN PEDRO DE ATACAMA (F) ,"Vilama 245, 1390000 San Pedro de Atacama, Antofagasta Region, Chile",-22.910563265566616,-68.2005629167013
RETEN SOCAIRE (T. F.),"Ruta 23 CH, 1390000 San Pedro de Atacama, Antofagasta Region, Chile",-23.8255437,-67.4419555
RetÃ©n El Laco (F),"Teatinos 40, 8340687 Santiago, Santiago Metropolitan Region, Chile",-33.4428842,-70.6538357
1A. COMISARÍA TALTAL,"Sargento Aldea 502, 1270000 Taltal, Antofagasta Region, Chile",-25.410494273718786,-70.4845168842017
RETEN ALEMANIA (M.C.),"Ruta 5 Norte, Taltal, Antofagasta Region, Chile",-25.407574649522115,-69.97337047953607
4A. COMISARÍA DE TOCOPILLA,"21 de Mayo 1666, 1390000 Tocopilla, Antofagasta Region, Chile",-22.09294632168191,-70.20042876163399
RETEN ASCOTAN (F),"Ruta 21 CH, Ollagüe, Antofagasta Region, Chile",-21.725182481957926,-68.27552705522538
TENENCIA OLLAGÜE (F),"Avenida Antofagasta, 1390000 Ollagüe, Antofagasta Region, Chile",-21.2234728,-68.2519757
TENENCIA MEJILLONES,"Ignacio Riquelme 846, 1260000 Mejillones, Antofagasta Region, Chile",-23.101008910023584,-70.44525786941313
TENENCIA MARIA ELENA (M.C),"Sargento Rebolledo 269, 1390000 María Elena, Antofagasta Region, Chile",-22.344475079911597,-69.65808587394315
1A. COMISARIA CHAÑARAL,"Maipú 640, 1530000 Chañaral, Atacama Region, Chile",-26.347439041340152,-70.62170034125347
RETEN EL SALADO,"Pedro Lujan 797, 1530000 Chañaral, Atacama Region, Chile",-26.422086774146678,-70.31696439773094
2A. COMISARIA COPIAPO,"José Joaquín Vallejos 405, 1530662 Copiapó, Atacama Region, Chile",-27.36775229256876,-70.33140899820484
III ZONA DE CARABINEROS DE ATACAMA,"Avenida Copayapu 1481, 1530296 Copiapó, Atacama Region, Chile",-27.3753342,-70.3249508
PREFECTURA DE CARABINEROS ATACAMA N 5,"Bernardo O'Higgins 767, 1530662 Copiapó, Atacama Region, Chile",-27.3678602,-70.3315127
RETEN LAGUNA VERDE MARICUNGA (F),"Ruta 31 CH, Copiapó, Atacama Region, Chile",-26.893556829875696,-68.47009623439328
RETEN PAIPOTE,"Pedro Aguirre Cerda 1080, 1530000 Copiapó, Atacama Region, Chile",-27.41342342867123,-70.27158114831042
SUBCOMISARÍA PEDRO LEON GALLO,"Los Loros 390, 1530000 Copiapó, Atacama Region, Chile",-27.36826275403082,-70.31194160859832
TENENCIA CARRETERA ATACAMA NORTE,"Ruta 5 Norte 846, Copiapó, Atacama Region, Chile",-27.34925078,-70.68287255
SUBCOMISARIA (C.O.P),"Avenida Copayapu 3302, 1534784 Copiapó, Atacama Region, Chile",-27.3906254,-70.3112931
2DA COMISARIA COPIAPO,"Bernardo O'Higgins 767, 1530662 Copiapó, Atacama Region, Chile",-27.3677729,-70.331516
4A. COMISARÍA EL SALVADOR,"Avenida Potrerillos Sur 2504, 1530000 Diego de Almagro, Atacama Region, Chile",-26.24895866746414,-69.62592260185244
RETEN INCA DE ORO,"Arturo Prat 3004, 1530000 Diego de Almagro, Atacama Region, Chile",-26.7532995,-69.9056205
SUBCOMISARÍA DIEGO DE ALMAGRO,"Juan Martínez de Rozas 18, 1530000 Diego de Almagro, Atacama Region, Chile",-26.391998670241758,-70.04700381945906
3A COMISARÍA DE VALLENAR,"Serrano 1196, 1611386 Vallenar, Atacama Region, Chile",-28.578085,-70.75840340000002
RETEN ALFREDO ROZAS BUGUEÑO,"Martín González 1745, 1611529 Vallenar, Atacama Region, Chile",-28.576547715738588,-70.75003508119437
RETEN DOMEYKO,"Gabriela Mistral 690, 1730000 Vallenar, Atacama Region, Chile",-28.955320781011565,-70.89561754318322
TENENCIA CARRETERA ATACAMA SUR,"KM 656, 1530000 Vallenar, Atacama Region, Chile",-28.573381086212397,-70.78537964227405
TENENCIA FREIRINA,"Río de Janeiro 861, 1630159 Freirina, Atacama Region, Chile",-28.50864619787936,-71.07885403334592
SUBCOMISARÍA HUASCO (M),"Arturo Prat 98, 1730000 Huasco, Atacama Region, Chile",-28.46286076208071,-71.22512640985644
RETEN SACRAMENTO (F),"Ferrocarril, 1530000 Tierra Amarilla, Atacama Region, Chile",-27.830676014169455,-70.10782303527765
SUBCOMISARÍA TIERRA AMARILLA,"Avenida Miguel Lemeur 1, 1530000 Tierra Amarilla, Atacama Region, Chile",-27.46659842533008,-70.26540370292543
SUBCOMISARÍA CALDERA,"Batallón Atacama 307, 1530000 Caldera, Atacama Region, Chile",-27.06960545158917,-70.82044224487396
RETEN CONAY (F),"Ruta C-495, 1730000 Alto del Carmen, Atacama Region, Chile",-28.9735510053248,-70.15390916125989
RETEN EL TRANSITO,"República, 165 Alto del Carmen, Atacama Region, Chile",-28.876755705114814,-70.28009723788597
RETEN SAN FELIX (F),"Manuel Antonio Matta KM 19, 1730000 Alto del Carmen, Atacama Region, Chile",-28.933308958902764,-70.46262937285297
TENENCIA ALTO DEL CARMEN,"Ruta C-489, 1730000 Alto del Carmen, Atacama Region, Chile",-28.754585496877702,-70.48555339279233
2A COMISARÍA DE COQUIMBO,"Tegualda 515, 1780000 Coquimbo, Coquimbo Region, Chile",-29.965973770964787,-71.34514013344472
RETEN GUANAQUEROS,"Avenida Guanaqueros 2380, 1790000 Coquimbo, Coquimbo Region, Chile",-30.19642548983101,-71.42967504017662
TENENCIA LAS ENCINAS,"General Bustamante 655, 1792854 Coquimbo, Coquimbo Region, Chile",-29.974716770670007,-71.32827127632225
TENENCIA PEÑUELAS,"5408, 1800000 La Serena, Coquimbo Region, Chile",-29.948881116520614,-71.28730059128742
SUBCOMISARÍA TIERRAS BLANCAS,"Avenida Talca 528, 1801063 Coquimbo, Coquimbo Region, Chile",-29.961811211673673,-71.25597510539353
TENENCIA COQUIMBO ORIENTE,"Avenida El Sauce 1109, 1791786 Coquimbo, Coquimbo Region, Chile",-29.98820177332511,-71.34124815823179
TENENCIA LA HERRADURA,"Las Gaviotas 186, 1793120 Coquimbo, Coquimbo Region, Chile",-29.986614497299723,-71.36047842375967
TENENCIA TONGOY,"Fundición Norte 107, 1790000 Coquimbo, Coquimbo Region, Chile",-30.25739761749051,-71.49228367449723
RETEN CERRO DEL VIGIA,"Alonso de Ercilla 418, 1780471 Coquimbo, Coquimbo Region, Chile",-29.949660609153305,-71.34620452993772
4A. COMISARÍA DE ILLAPEL,"O'Higgins 189, 2030000 Illapel, Coquimbo Region, Chile",-31.633092996281594,-71.16768338832435
1A COMISARíA LA SERENA,"Cristóbal Colón 720, 1720004 La Serena, Coquimbo Region, Chile",-29.8994795,-71.24631290000002
6A COMISARÍA DE LAS COMPAÑIAS,"México 2401, 1731087 La Serena, Coquimbo Region, Chile",-29.877126772631627,-71.23843755855387
IV ZONA DE CARABS. COQUIMBO,"Cristóbal Colón 674, 1710049 La Serena, Coquimbo Region, Chile",-29.8994895,-71.2469863
PREFECTURA DE CARABINEROS DE COQUIMBO,"Cienfuegos 180, 1720004 La Serena, Coquimbo Region, Chile",-29.8994008677834,-71.24644971796528
SUBCOMISARÍA I.A.T. LA SERENA,"Avenida José Manuel Balmaceda 4660, 1710598 La Serena, Coquimbo Region, Chile",-29.9419782,-71.2639139
SUBCOMISARÍA LA FLORIDA,"Avenida 18 de Septiembre 4117, 1700364 La Serena, Coquimbo Region, Chile",-29.915739103392813,-71.2185165552948
TENENCIA CARRETERA ELQUI,"Ruta 5 Norte, La Serena, Coquimbo Region, Chile",-29.826276986540222,-71.26419368542787
3A. COMISARIA CONTROL ORDEN PUBLICO,"Juan José Latorre 397, 1730000 La Serena, Coquimbo Region, Chile",-29.8786191,-71.2533616
3A. COMISARÍA OVALLE,"Tangue 20, 1840625 Ovalle, Coquimbo Region, Chile",-30.604323847812665,-71.196499951171
TENENCIA CARRETERA LIMARI,"Ruta 5 Norte 5, Ovalle, Coquimbo Region, Chile",-30.579533512069933,-71.4948323042297
RETEN CERRILLOS DE TAMAYA,"Gustavo Zeballos, 1790000 Ovalle, Coquimbo Region, Chile",-30.57918231045844,-71.40879861384946
TENENCIA ASISTENCIAL DE MENORES OVALLE,"Cochrane 608, 1790000 Ovalle, Coquimbo Region, Chile",-30.600679035687254,-71.20758183661792
5A. COMISARÍA VICUÑA,"Condell 28, 1760553 Vicuña, Coquimbo Region, Chile",-30.036877489583844,-70.71011141605788
RETEN EL MOLLE,"Avenida Estadio 120, 1700000 Vicuña, Coquimbo Region, Chile",-29.977968194421937,-70.95206850292595
TENENCIA JUNTAS DEL TORO,"Camino Internacional Gabriela Mistral, Vicuña, Coquimbo Region, Chile",-29.977080313428107,-70.09452654467424
RETEN LA HIGUERA,"Avenida La Paz, 1730000 La Higuera, Coquimbo Region, Chile",-29.510642450611265,-71.20035755373198
TENENCIA ANDACOLLO,"Pedro de Valdivia 12, 1750134 Andacollo, Coquimbo Region, Chile",-30.23387601698522,-71.0818619077732
RETEN COGOTI (F),"Ruta D-781, Combarbalá, Coquimbo Region, Chile",-31.0910336,-70.95473909999998
SUBCOMISARÍA COMBARBALA,"Plaza de Armas 100, 1790000 Combarbalá, Coquimbo Region, Chile",-31.17850168517952,-71.00197309788945
RETEN LA CANELA,"Estanislao Ollarzú 665, 1960018 Canela, Coquimbo Region, Chile",-31.397216162293212,-71.45647684180278
TENENCIA CHOAPA MIXTA CARRETERAS,"Ruta 5 Norte, Canela, Coquimbo Region, Chile",-31.703856401147327,-71.52188666508175
RETEN PICHIDANGUI,"La Raya 73, Los Vilos, Coquimbo Region, Chile",-32.14141662685254,-71.52639033505511
SUBCOMISARÍA LOS VILOS,"Tucapel 599, 2030000 Los Vilos, Coquimbo Region, Chile",-31.91462524841345,-71.51020251185821
RETEN COIRON (F),"18 de Septiembre, 2030000 Salamanca, Coquimbo Region, Chile",-31.9033939,-70.775087
SUBCOMISARÍA SALAMANCA,"O'Higgins 599, 2030000 Salamanca, Coquimbo Region, Chile",-31.779583984947006,-70.96507733671103
TENENCIA PUNITAQUI,"Caupolicán 1150, 1900026 Punitaqui, Coquimbo Region, Chile",-30.833146466086042,-71.25773017031344
RETEN CHAÑARAL ALTO,"Los Libertadores, 188 Monte Patria, Coquimbo Region, Chile",-30.8795374682738,-71.01033249874428
RETEN EL PALQUI,"Galvarino, 1800000 Monte Patria, Coquimbo Region, Chile",-30.768474222830594,-70.94348315326255
RETEN LAS TORTOLAS (F),"Ruta D-557, Monte Patria, Coquimbo Region, Chile",-30.742772602221454,-70.59974802660736
RETEN PEDREGAL (F),"Ruta D-577, Monte Patria, Coquimbo Region, Chile",-30.854423244166544,-70.70956617781923
SUBCOMISARÍA MONTE PATRIA,"Ponio 149, 1800000 Monte Patria, Coquimbo Region, Chile",-30.69628739789293,-70.95884482689314
RETEN TULAHUEN (F),"Ruta D-597, 188 Monte Patria, Coquimbo Region, Chile",-30.964620083246878,-70.76905322671081
3A. COMISARÍA ALGARROBO,"Carabineros de Chile 86, 2710000 Algarrobo, Valparaiso Region, Chile",-33.3653178544013,-71.66910209019841
