Nombre,Direccion,Telefono,Latitud,Longitud
Brigada de Investigación Criminal Arica,Calle Belén N° 1651. Arica,58 - 257 07 03 / 58 - 257 07 01,-18.4770030272725,-70.2956411517238
Brigada Investigadora de Robos Arica,Calle Belén N°1651,58 -226 66 10,-18.4770030272725,-70.2956411517238
Brigada de Homicidios Arica,Calle Belén N°1651,58 -257 07 09,-18.4770030272725,-70.2956411517238
Brigada Investigadora de Delitos Sexuales Arica,Calle Belén N°1651,58 -257 07 15 / 58 - 257 07 01,-18.4770030272725,-70.2956411517238
Brigada Antinarcóticos y Contra el Crimen Organizado Arica,"Calle Belén N°1651, Arica",58 -257 07 27,-18.4770030272725,-70.2956411517238
Avanzada Antinarcóticos Chacalluta,Ruta Internacional CH 5 Km 2.098,58 -257 09 61,-30.0287514919910,-70.6915971158211
Brigada Investigadora de Delitos Económicos Arica,Calle Belén N°1651,58 - 257 07 10/58 - 257 07 12,-18.4770030272725,-70.2956411517238
Brigada Investigadora de Delitos Contra el Medio Ambiente y Patrimonio Cultural Arica,Calle Belén N°1651,58 -2 57 07 18,-18.4770030272725,-70.2956411517238
Laboratorio de Criminalística Arica,"Angamos 990, Arica",58 -257 08 47,-18.4787230275537,-70.3110811519767
Prefectura Migraciones y Policía Internacional Arica,"Angamos 990, Arica",58 -2 25 03 77,-18.4787230275537,-70.3110811519767
Brigada Investigadora de Trata de Personas Arica,"Belén 1651 tercer piso,  Arica",58 -257 07 11,-18.4770030272725,-70.2956411517238
Brigada Investigadora de Delitos en Recintos Portuarios Iquique,Jorge Barrera N°62,57 - 224 77 26/57 - 224 77 27,-20.210284761996494, -70.15595223757211
Brigada Investigadora de Robos Iquique,"Barros Arana 1099, Iquique",57 - 224 76 73,-20.2184033125830,-70.1476611492992
Brigada de Homicidios Iquique,"Salvador Allende 2901, Iquique",57 - 224 75 20,-20.2408333162590,-70.1347211490874
Brigada de Investigación Criminal Iquique,"Barros Arana 1099, Iquique",57 - 224 76 80,-20.2184033125830,-70.1476611492992
